,Unnamed: 0,id,host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,host_response_time,host_identity_verified,host_response_rate,host_is_superhost,nr_of_bathrooms,bedrooms,accommodates,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
0,1,25659,107347,Lisboa,Santa Maria Maior,38.71241,-9.12706,4,50,2,127,1.37,1,325,14,1,1,1.0,1,1.0,1.0,3,4.81,4.88,4.97,4.97,4.88,4.82
1,2,29248,125768,Lisboa,Santa Maria Maior,38.71082,-9.12719,4,60,5,337,2.53,1,190,13,2,1,1.0,0,1.0,1.0,4,4.56,4.38,4.65,4.74,4.82,4.61
2,3,29396,126415,Lisboa,Santa Maria Maior,38.71156,-9.12987,4,60,2,299,2.57,1,302,40,1,1,1.0,1,1.0,1.0,4,4.8,4.82,4.88,4.91,4.88,4.75
4,5,29915,128890,Lisboa,Avenidas Novas,38.74571,-9.15264,4,50,5,46,0.33,1,228,8,2,1,0.9,1,1.0,1.0,3,4.68,4.88,4.79,4.74,4.67,4.72
5,8,42519,136230,Lisboa,Misericrdia,38.71062,-9.149,4,50,1,120,0.97,8,161,6,1,1,1.0,0,1.0,1.0,2,4.44,4.62,4.61,4.48,4.75,4.5
6,9,48025,218778,Lisboa,Misericrdia,38.71195,-9.14463,4,65,5,18,0.14,6,261,0,2,1,1.0,1,1.5,1.0,2,4.24,4.35,4.71,4.76,4.59,4.12
7,10,48058,218990,Cascais,Cascais e Estoril,38.6965,-9.42571,4,80,5,33,0.41,1,246,0,1,1,1.0,0,1.0,1.0,4,4.94,4.69,4.91,4.91,4.97,4.88
8,13,50108,229376,Lisboa,Estrela,38.70388,-9.16546,4,75,2,37,0.3,2,0,0,1,1,0.71,0,2.0,1.0,4,4.52,4.43,4.62,4.7,4.52,4.55
9,15,56906,270457,Lisboa,So Vicente,38.71851,-9.12439,4,47,3,150,1.13,7,345,7,1,1,1.0,0,1.0,1.0,2,4.62,4.63,4.97,4.97,4.49,4.55
10,17,83933,335614,Lisboa,So Vicente,38.719852,-9.129011,4,57,2,220,1.75,2,162,8,1,1,1.0,0,1.0,1.0,2,4.44,4.31,4.64,4.7,4.66,4.37
11,18,84599,181902,Lisboa,Santa Maria Maior,38.7106,-9.13689,4,137,1,74,0.64,18,333,4,1,1,1.0,1,1.0,2.0,5,4.65,4.93,4.72,4.75,4.89,4.61
12,20,93829,183877,Lisboa,So Vicente,38.71722,-9.13019,4,51,1,59,0.64,1,222,0,1,1,1.0,0,1.0,1.0,2,4.49,4.68,4.85,4.9,4.83,4.46
13,23,103252,538753,Lisboa,So Vicente,38.71825,-9.12902,4,60,2,73,1.11,7,0,15,1,1,1.0,1,1.0,1.0,4,4.73,4.89,4.97,4.96,4.85,4.64
14,26,119120,387186,Lisboa,Estrela,38.70927,-9.16122,4,68,3,249,1.98,6,38,14,1,1,1.0,1,1.0,2.0,4,4.87,4.91,4.95,4.97,4.72,4.81
15,30,125848,624278,Lisboa,So Vicente,38.71478,-9.1241,4,69,3,143,1.22,4,282,0,1,1,1.0,1,1.0,1.0,3,4.37,4.42,4.55,4.65,4.8,4.42
16,31,126646,628095,Lisboa,Penha de Frana,38.72983,-9.13183,2,26,1,292,3.27,3,87,36,1,1,1.0,1,1.0,1.0,3,4.57,4.69,4.81,4.83,4.49,4.64
17,35,133645,656138,Lisboa,Santa Maria Maior,38.71091,-9.13251,4,49,2,286,2.28,2,356,27,1,1,1.0,1,1.0,1.0,3,4.7,4.56,4.96,4.95,4.94,4.7
18,36,134438,659768,Lisboa,So Vicente,38.71841,-9.1233,4,50,2,199,1.59,2,320,0,2,1,0.8,0,1.0,1.0,2,4.5,4.51,4.65,4.63,4.56,4.47
19,38,135261,663233,Lisboa,Misericrdia,38.71298,-9.14541,4,50,7,232,1.83,1,256,2,2,1,1.0,0,1.0,2.0,4,4.76,4.87,4.74,4.74,4.89,4.75
20,40,137054,656138,Lisboa,Santa Maria Maior,38.71236,-9.13129,4,50,2,217,1.76,2,357,30,1,1,1.0,1,1.0,1.0,3,4.78,4.66,4.97,4.97,4.95,4.66
21,43,138929,677938,Lisboa,Santa Maria Maior,38.71231,-9.12918,4,40,2,378,2.98,1,294,57,1,1,1.0,1,1.0,1.0,2,4.84,4.87,4.88,4.91,4.87,4.83
22,44,138999,678222,Lisboa,Santa Maria Maior,38.71064,-9.13278,4,90,4,110,0.88,1,0,3,1,1,1.0,0,1.5,1.0,4,4.76,4.72,4.81,4.71,4.94,4.74
23,45,140080,682628,Lisboa,Misericrdia,38.71308,-9.14514,4,132,2,29,0.24,8,283,1,3,1,1.0,0,2.0,5.0,12,4.07,4.14,4.75,4.83,4.72,4.17
24,48,144851,701650,Lisboa,Misericrdia,38.71261,-9.14456,4,90,2,89,0.71,10,235,12,1,1,0.95,0,1.0,1.0,4,4.72,4.77,4.78,4.92,4.88,4.71
