	id	host_id	neighbourhood_group	neighbourhood	latitude	longitude	room_type	price	minimum_nights	number_of_reviews	reviews_per_month	calculated_host_listings_count	availability_365	number_of_reviews_ltm	host_response_time	host_identity_verified	host_response_rate	host_is_superhost	nr_of_bathrooms	bedrooms	accommodates	review_scores_rating	review_scores_cleanliness	review_scores_checkin	review_scores_communication	review_scores_location	review_scores_value
9162	25930248	10366974	Amadora	guas Livres	38.74359	-9.22491	2	35	1	6	0.14	20	277	0	1	1	1.0	1	1.0	1.0	2	5.0	5.0	5.0	5.0	4.67	4.17
9163	25930454	65781519	Lisboa	Campo de Ourique	38.71904	-9.15849	4	30	2	41	0.97	2	268	5	1	1	1.0	1	1.0	1.0	1	4.9	4.76	4.93	4.95	4.93	4.71
9164	25933863	193856817	Lisboa	Arroios	38.73235	-9.1326	1	13	1	8	0.2	14	344	2	1	1	1.0	0	2.0	1.0	1	4.88	4.88	4.88	5.0	5.0	4.5
9165	25934148	193856817	Lisboa	Arroios	38.73051	-9.13393	1	13	1	12	0.29	14	344	0	1	1	1.0	0	2.0	1.0	1	4.83	4.92	4.92	4.92	4.92	4.92
9166	25934274	193856817	Lisboa	Arroios	38.73092	-9.13485	1	13	1	5	0.12	14	364	2	1	1	1.0	0	2.0	1.0	1	4.4	4.2	4.6	4.4	4.8	4.8
9167	25934381	193856817	Lisboa	Arroios	38.7326	-9.13339	1	16	1	29	0.69	14	342	1	1	1	1.0	0	2.0	1.0	1	4.62	4.59	4.41	4.59	4.52	4.59
9169	25935709	194942848	Sintra	S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim	38.79992	-9.38043	4	54	2	85	2.03	1	65	13	1	1	1.0	1	1.0	2.0	5	4.8	4.8	4.88	4.87	4.68	4.74
9171	25942722	194773017	Lisboa	Olivais	38.77674	-9.12004	2	35	2	32	0.75	4	363	0	2	1	0.9	0	1.0	1.0	2	4.61	4.94	4.74	4.65	4.65	4.65
9172	25946659	195027764	Lisboa	Estrela	38.70816	-9.1555	4	73	3	39	0.93	1	58	7	1	1	1.0	0	1.0	1.0	4	4.9	4.9	4.97	4.97	4.9	4.74
9174	25959213	194735330	Sintra	Colares	38.82604	-9.46869	4	52	3	78	1.92	1	337	20	1	1	1.0	1	1.0	2.0	4	4.96	4.96	4.96	4.95	4.91	4.79
9175	25962205	1659960	Lourinh	Lourinh e Atalaia	39.26868	-9.33376	2	69	7	2	0.05	38	0	1	3	1	0.89	0	1.0	2.0	4	5.0	5.0	4.5	5.0	5.0	5.0
9176	25962877	186098420	Lisboa	Alcntara	38.70966	-9.17577	4	50	3	37	0.89	2	228	1	1	1	1.0	0	1.0	1.0	4	4.68	4.7	4.92	4.97	4.57	4.59
9179	25972258	4026994	Lisboa	Santa Maria Maior	38.71266	-9.12675	4	79	3	5	0.12	1	58	0	2	1	1.0	0	1.0	1.0	2	4.8	4.8	5.0	5.0	4.8	4.8
9181	25975991	194917993	Lisboa	Estrela	38.70429	-9.16706	4	37	7	50	1.19	1	337	3	1	1	1.0	0	1.0	1.0	4	4.78	4.72	5.0	4.96	4.68	4.76
9182	25976041	66371433	Torres Vedras	Campelos e Outeiro da Cabea	39.17541	-9.18323	4	29	3	45	1.09	1	63	6	1	1	1.0	1	1.0	1.0	4	4.91	4.93	5.0	5.0	4.76	4.89
